epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0779,0.38762,0.59872,0.92725,0.99448,1,0.995,0.94861,0.34179,0.62178,0.7807,0,0,0
2,19.9131,0.51394,0.66453,0.93242,0.99494,1,0.995,0.94706,0.33057,0.61271,0.77699,1.63399e-05,1.63399e-05,1.63399e-05
3,29.65,0.38291,0.53777,0.89259,0.99527,1,0.995,0.95912,0.31406,0.60004,0.7714,3.20197e-05,3.20197e-05,3.20197e-05
4,39.2864,0.43485,0.56724,0.90075,0.99494,1,0.995,0.95641,0.30919,0.59054,0.77023,4.70394e-05,4.70394e-05,4.70394e-05
5,48.8908,0.47522,0.56118,0.92819,0.99484,1,0.995,0.9621,0.30391,0.58114,0.769,6.13989e-05,6.13989e-05,6.13989e-05
6,60.7497,0.38463,0.5201,0.88215,0.99471,1,0.995,0.9631,0.29938,0.573,0.76499,7.50984e-05,7.50984e-05,7.50984e-05
7,71.0633,0.37816,0.51638,0.89161,0.9947,1,0.995,0.94635,0.30147,0.57636,0.76486,8.81376e-05,8.81376e-05,8.81376e-05
8,81.4741,0.49419,0.62151,0.99529,0.99461,1,0.995,0.94876,0.30551,0.59135,0.76855,0.000100517,0.000100517,0.000100517
9,91.5527,0.42826,0.5304,0.88235,0.99456,1,0.995,0.93295,0.30486,0.59058,0.77049,0.000112236,0.000112236,0.000112236
10,101.759,0.46435,0.58724,0.93302,0.99461,1,0.995,0.96348,0.31286,0.58195,0.7769,0.000123295,0.000123295,0.000123295
11,111.451,0.41683,0.48948,0.90072,0.99491,1,0.995,0.94688,0.33791,0.58279,0.7896,0.000133693,0.000133693,0.000133693
12,121.473,0.48206,0.56731,0.91934,0.99508,1,0.995,0.94568,0.34468,0.57623,0.79521,0.000143432,0.000143432,0.000143432
13,131.359,0.35318,0.46972,0.86052,0.99525,1,0.995,0.93109,0.37577,0.59999,0.81206,0.00015251,0.00015251,0.00015251
14,140.924,0.40489,0.54061,0.91864,0.99531,1,0.995,0.90229,0.42929,0.6353,0.83926,0.000160929,0.000160929,0.000160929
15,150.675,0.5083,0.62693,0.97985,0.99537,1,0.995,0.90229,0.42908,0.63865,0.8351,0.000168687,0.000168687,0.000168687
16,160.462,0.40571,0.51216,0.88916,0.99535,1,0.995,0.90889,0.39853,0.60682,0.81521,0.000175785,0.000175785,0.000175785
17,170.483,0.50517,0.56594,0.93385,0.99533,1,0.995,0.92395,0.37269,0.59388,0.80152,0.000182223,0.000182223,0.000182223
18,180.235,0.47287,0.60142,0.96237,0.99533,1,0.995,0.92395,0.37269,0.59388,0.80152,0.000188001,0.000188001,0.000188001
19,189.97,0.50848,0.65833,0.9322,0.99511,1,0.995,0.93522,0.36852,0.5731,0.7974,0.000193119,0.000193119,0.000193119
20,199.895,0.45847,0.5133,0.93358,0.99511,1,0.995,0.93522,0.36852,0.5731,0.7974,0.000197576,0.000197576,0.000197576
21,210.023,0.48452,0.64137,0.96135,0.99475,1,0.995,0.9422,0.37501,0.58825,0.79813,0.000201374,0.000201374,0.000201374
22,219.877,0.4747,0.61451,0.90608,0.99475,1,0.995,0.9422,0.37501,0.58825,0.79813,0.000204511,0.000204511,0.000204511
23,230.082,0.53425,0.62286,0.92693,0.99441,1,0.995,0.93513,0.35224,0.57084,0.7853,0.000206988,0.000206988,0.000206988
24,239.956,0.59311,0.63337,0.90599,0.99441,1,0.995,0.93513,0.35224,0.57084,0.7853,0.000208805,0.000208805,0.000208805
25,249.897,0.44124,0.56688,0.93796,0.9938,1,0.995,0.95511,0.33388,0.56054,0.78286,0.000209962,0.000209962,0.000209962
26,259.667,0.46999,0.55849,0.89263,0.9938,1,0.995,0.95511,0.33388,0.56054,0.78286,0.000210459,0.000210459,0.000210459
27,269.526,0.48692,0.53227,0.86231,0.99248,1,0.995,0.9355,0.38933,0.58122,0.81041,0.000210295,0.000210295,0.000210295
28,279.44,0.52338,0.58099,0.91615,0.99248,1,0.995,0.9355,0.38933,0.58122,0.81041,0.000209472,0.000209472,0.000209472
29,289.367,0.55712,0.6084,0.99777,0.99139,1,0.995,0.90225,0.43957,0.60969,0.84567,0.000207988,0.000207988,0.000207988
30,299.175,0.55143,0.6071,0.93563,0.99139,1,0.995,0.90225,0.43957,0.60969,0.84567,0.000205844,0.000205844,0.000205844
31,309.144,0.67953,0.69499,1.0446,0.99088,1,0.995,0.91573,0.42105,0.61089,0.83657,0.000203041,0.000203041,0.000203041
32,319.109,0.53247,0.56587,0.95818,0.99088,1,0.995,0.91573,0.42105,0.61089,0.83657,0.000199577,0.000199577,0.000199577
33,331.773,0.50421,0.54572,0.91513,0.99102,1,0.995,0.93363,0.3449,0.58246,0.79677,0.000195452,0.000195452,0.000195452
34,344.409,0.47062,0.52784,0.92677,0.99102,1,0.995,0.93363,0.3449,0.58246,0.79677,0.000190668,0.000190668,0.000190668
35,356.015,0.50846,0.66186,0.95314,0.99203,1,0.995,0.95552,0.30639,0.56755,0.77414,0.000185224,0.000185224,0.000185224
36,366.035,0.47012,0.55382,0.9683,0.99203,1,0.995,0.95552,0.30639,0.56755,0.77414,0.000179119,0.000179119,0.000179119
37,376.867,0.42248,0.50831,0.93668,0.99309,1,0.995,0.96346,0.31102,0.56556,0.77053,0.000172354,0.000172354,0.000172354
38,387.148,0.45283,0.58243,0.96812,0.99309,1,0.995,0.96346,0.31102,0.56556,0.77053,0.00016493,0.00016493,0.00016493
39,397.84,0.47496,0.56866,0.88943,0.99404,1,0.995,0.93744,0.33119,0.57761,0.77597,0.000156845,0.000156845,0.000156845
40,408.515,0.50913,0.58499,0.93564,0.99404,1,0.995,0.93744,0.33119,0.57761,0.77597,0.0001481,0.0001481,0.0001481
41,419.71,0.39407,0.71471,0.85572,0.99442,1,0.995,0.93744,0.33094,0.58873,0.77622,0.000138694,0.000138694,0.000138694
42,431.717,0.34345,0.69505,0.87035,0.99442,1,0.995,0.93744,0.33094,0.58873,0.77622,0.000128629,0.000128629,0.000128629
43,442.962,0.38827,0.72036,0.81778,0.99502,1,0.995,0.95214,0.31291,0.57404,0.77,0.000117904,0.000117904,0.000117904
44,453.007,0.34098,0.69227,0.83257,0.99502,1,0.995,0.95214,0.31291,0.57404,0.77,0.000106518,0.000106518,0.000106518
45,463.233,0.42203,0.68752,0.87497,0.99463,1,0.995,0.9622,0.29091,0.57985,0.76299,9.44722e-05,9.44722e-05,9.44722e-05
46,473.937,0.32489,0.64721,0.83542,0.99463,1,0.995,0.9622,0.29091,0.57985,0.76299,8.17663e-05,8.17663e-05,8.17663e-05
47,486.74,0.36999,0.6756,0.80764,0.99422,1,0.995,0.97081,0.27446,0.57043,0.75903,6.84003e-05,6.84003e-05,6.84003e-05
48,497.369,0.33777,0.65972,0.86919,0.99422,1,0.995,0.97081,0.27446,0.57043,0.75903,5.43742e-05,5.43742e-05,5.43742e-05
49,507.376,0.39166,0.69585,0.8853,0.99408,1,0.995,0.97081,0.26805,0.57171,0.75862,3.96879e-05,3.96879e-05,3.96879e-05
50,517.069,0.29067,0.64131,0.83113,0.99408,1,0.995,0.97081,0.26805,0.57171,0.75862,2.43415e-05,2.43415e-05,2.43415e-05
